,id,company,industries,hq,founded date,last funding date,last funding amount,last funding type,total funding amount,status
6231,6231,WayBlazer,Travel and Tourism,"Austin, Texas, United States",1/1/14,5/19/15,5000000,Series A,5000000,Operating
6232,6232,Way2B1,"Travel and Tourism, Information Technology","San Francisco, California, United States",5/1/15,3/3/17,4300000,Series A,5000000,Operating
6233,6233,Waveguide,Health Care,"Cambridge, Massachusetts, United States",1/1/12,4/27/15,13920380,Series A,13920380,Operating
6234,6234,Watsi,"Health Care, Financial Services","San Anselmo, California, United States",8/23/12,11/4/15,3500000,Series A,4700000,Operating
6235,6235,Watchup,"Media and Entertainment, Video, Content and Publishing","Menlo Park, California, United States",6/27/12,11/6/14,2800000,Series A,4300000,Was Acquired
6236,6236,Washio,"Administrative Services, Clothing and Apparel","Los Angeles, California, United States",1/1/13,6/9/14,10500000,Series A,16820000,Closed
6237,6237,Wanderu,"Travel and Tourism, Transportation","Boston, Massachusetts, United States",1/1/12,11/5/14,5600000,Series A,8050000,Operating
6238,6238,"VUFINE, Inc.","Hardware, Consumer Electronics","Sunnyvale, California, United States",3/19/15,7/1/15,1500000,Series A,1791111,Operating
6239,6239,Vtesse,"Biotechnology, Science and Engineering, Data and Analytics, Health Care, Design","Gaithersburg, Maryland, United States",1/1/14,7/25/16,17000000,Series A,42000000,Was Acquired
6240,6240,VoxelCloud,Health Care,"Los Angeles, California, United States",1/1/15,5/24/17,8000000,Series A,13500000,Operating
6241,6241,Voxel8,"Hardware, Media and Entertainment, Consumer Electronics, Software, Content and Publishing","Somerville, Massachusetts, United States",1/1/13,7/24/15,12000000,Series A,12050000,Operating
6242,6242,Vow To Be Chic,"Commerce and Shopping, Clothing and Apparel, Design","Santa Monica, California, United States",1/1/13,6/15/16,5000000,Series A,5000000,Operating
6243,6243,Vouch Financial,"Financial Services, Lending and Investments","San Francisco, California, United States",1/1/13,5/14/15,6000000,Series A,8999998,Closed
6244,6244,VOKE,"Hardware, Media and Entertainment, Events, Software","Santa Clara, California, United States",1/1/12,3/14/16,12500000,Series A,13250000,Was Acquired
6245,6245,Vividion Therapeutics,"Biotechnology, Science and Engineering, Health Care","Princeton, New Jersey, United States",1/1/13,2/2/17,50000000,Series A,53504616,Operating
6246,6246,VividCortex,"Information Technology, Data and Analytics, Software","Charlottesville, Virginia, United States",1/1/12,8/16/17,8500000,Series A,15673000,Operating
6247,6247,ViVex Biomedical,"Biotechnology, Science and Engineering, Health Care","Atlanta, Georgia, United States",1/1/12,1/5/16,6600000,Series A,14200000,Operating
6248,6248,Vium,"Biotechnology, Science and Engineering, Health Care","San Mateo, California, United States",1/1/13,6/9/15,20000004,Series A,29940004,Operating
6249,6249,"Vitrum View, LLC",Real Estate,"Peoria, Arizona, United States",1/1/14,10/6/14,1000000,Series A,1100000,Closed
6250,6250,Virtualitics,"Hardware, Information Technology, Data and Analytics, Software, Artificial Intelligence, Design","Pasadena, California, United States",8/1/16,4/11/17,1400000,Series A,4400000,Operating
6251,6251,Virgil Security,"Information Technology, Software, Internet Services, Privacy and Security","Manassas, Virginia, United States",1/1/14,10/12/16,4000000,Series A,4875000,Operating
6252,6252,ViralGains,"Media and Entertainment, Software, Sales and Marketing, Video, Mobile, Advertising","Boston, Massachusetts, United States",3/1/12,1/6/16,12300000,Series A,15200000,Operating
6253,6253,Viome,"Sports, Health Care","Cupertino, California, United States",1/4/16,7/31/17,15000002,Series A,15000002,Operating
6254,6254,VillageMD,Health Care,"Chicago, Illinois, United States",1/1/13,9/17/15,36000000,Series A,36000000,Operating
6255,6255,ViewPoint Therapeutics,"Biotechnology, Science and Engineering, Health Care","San Francisco, California, United States",1/1/14,5/5/16,4000000,Series A,4000000,Operating
6256,6256,Vidme,"Media and Entertainment, Video","Los Angeles, California, United States",1/1/14,12/14/16,6000000,Series A,9200000,Operating
6257,6257,"Vidible, now ONE by AOL","Media and Entertainment, Internet Services, Video","San Francisco, California, United States",7/1/12,1/3/14,3350673,Series A,4450673,Was Acquired
6258,6258,VideoAmp,"Media and Entertainment, Sales and Marketing, Advertising","Santa Monica, California, United States",6/1/14,11/11/15,15000000,Series A,17200000,Operating
6259,6259,Vettery,"Software, Professional Services, Internet Services","New York, New York, United States",1/1/13,8/16/16,9000000,Series A,11925000,Operating
6260,6260,Vestorly,Software,"New York, New York, United States",3/1/12,12/7/16,8500000,Series A,14600000,Operating
6261,6261,Vertical Mass,"Media and Entertainment, Music and Audio, Data and Analytics, Sports","Culver City, California, United States",1/1/13,10/18/16,5000000,Series A,8000000,Operating
6262,6262,Vertebrae,"Hardware, Software, Advertising","Santa Monica, California, United States",1/1/15,9/14/16,10000000,Series A,10000000,Operating
6263,6263,Verst,"Apps, Media and Entertainment, Software, Content and Publishing, Mobile","New York, New York, United States",1/1/14,9/17/15,12000000,Series A,12000000,Operating
6264,6264,Verodin,"Information Technology, Software, Professional Services, Privacy and Security","Reston, Virginia, United States",1/1/14,6/28/16,10000000,Series A,12080995,Operating
6265,6265,Veriflow,Information Technology,"San Jose, California, United States",1/1/13,7/6/16,8200000,Series A,11100000,Operating
6266,6266,"Vericred, Inc","Information Technology, Health Care","New York, New York, United States",1/1/14,5/22/17,5500000,Series A,9850000,Operating
6267,6267,Velan Studios,,"Troy, New York, United States",1/1/16,7/11/17,7000000,Series A,7000000,Operating
6268,6268,Vector Space,"Science and Engineering, Transportation","Tucson, Arizona, United States",3/1/16,6/29/17,21000000,Series A,32750000,Operating
6269,6269,Varocto,"Information Technology, Software","Los Angeles, California, United States",1/1/14,5/7/15,5500000,Series A,5500000,Operating
6270,6270,ValiMail,"Information Technology, Internet Services, Privacy and Security, Messaging and Telecommunications","San Francisco, California, United States",3/1/15,11/2/16,12000000,Series A,14799999,Operating
6271,6271,Valify,"Data and Analytics, Health Care","Frisco, Texas, United States",1/1/14,6/6/16,2000000,Series A,2750000,Operating
6272,6272,Vacatia,"Travel and Tourism, Commerce and Shopping","San Francisco, California, United States",1/1/13,9/8/16,2120000,Series A,15920000,Operating
6273,6273,V5 Systems Inc,"Natural Resources, Science and Engineering, Energy, Hardware, Media and Entertainment, Sustainability, Data and Analytics, Software, Internet Services, Video, Privacy and Security, Artificial Intelligence","Fremont, California, United States",1/1/14,4/18/17,12000000,Series A,19104355,Operating
6274,6274,Uvify,"Science and Engineering, Hardware, Consumer Electronics, Software, Consumer Goods","San Francisco, California, United States",3/18/14,2/7/16,4000000,Series A,4250000,Operating
6275,6275,Utrip,"Science and Engineering, Travel and Tourism, Data and Analytics, Software, Internet Services, Artificial Intelligence","Seattle, Washington, United States",7/15/12,2/20/17,4000000,Series A,6000000,Operating
6276,6276,UserIQ,"Software, Sales and Marketing, Mobile","Atlanta, Georgia, United States",2/1/14,10/31/16,2000000,Series A,3950000,Operating
6277,6277,User1st,"Software, Internet Services, Design","Washington, District of Columbia, United States",1/1/12,8/25/16,3000000,Series A,5000000,Operating
6278,6278,uSens,"Science and Engineering, Hardware, Data and Analytics, Software, Artificial Intelligence, Design","San Jose, California, United States",1/1/13,6/1/16,20000000,Series A,26700000,Operating
6279,6279,URX,"Commerce and Shopping, Media and Entertainment, Sales and Marketing, Mobile","San Francisco, California, United States",2/1/13,4/28/14,12000000,Series A,15100000,Was Acquired
6280,6280,Urgent.ly,"Apps, Software, Transportation, Mobile","Vienna, Virginia, United States",1/1/13,9/29/15,7000000,Series A,8710000,Operating
6281,6281,UrbanStems,"Commerce and Shopping, Consumer Goods, Financial Services","Washington, District of Columbia, United States",2/1/14,6/27/17,6000000,Series A,15200000,Operating
6282,6282,Urban Remedy,"Commerce and Shopping, Food and Beverage","Richmond, California, United States",8/21/12,6/4/14,5000000,Series A,6000000,Operating
6283,6283,Urban Mining Company,"Manufacturing, Natural Resources, Sustainability","Austin, Texas, United States",1/1/14,6/15/16,25000000,Series A,25000000,Operating
6284,6284,Upworthy,"Media and Entertainment, Internet Services, Content and Publishing","New York, New York, United States",3/26/12,9/16/13,8000000,Series A,12000000,Operating
6285,6285,Upload VR,"Hardware, Media and Entertainment, Software","San Francisco, California, United States",1/1/14,5/16/17,4500000,Series A,5750000,Operating
6286,6286,Upgrade,"Internet Services, Financial Services, Lending and Investments","San Francisco, California, United States",1/1/16,4/6/17,60000000,Series A,60000000,Operating
6287,6287,Upfront Healthcare Services,Health Care,"Chicago, Illinois, United States",1/1/15,5/22/17,6000000,Series A,6000000,Operating
6288,6288,UpCounsel,"Commerce and Shopping, Professional Services","San Francisco, California, United States",4/1/12,7/28/15,10000000,Series A,14000000,Operating
6289,6289,Unscrambl,"Data and Analytics, Software, Artificial Intelligence","Atlanta, Georgia, United States",12/17/13,5/16/17,2000000,Series A,2000000,Operating
6290,6290,Unravel Data,"Data and Analytics, Software","Menlo Park, California, United States",1/1/13,9/14/16,7000000,Series A,7156000,Operating
6291,6291,Unitive,Professional Services,"San Francisco, California, United States",1/1/14,1/26/16,430000,Series A,9330000,Operating
6292,6292,United Bus Technology,Information Technology,"Mclean, Virginia, United States",1/1/15,8/8/17,4000000,Series A,4000000,Operating
6293,6293,Unite Us,"Information Technology, Software, Sales and Marketing, Health Care","New York, New York, United States",1/1/13,8/5/15,4300000,Series A,6300000,Operating
6294,6294,UnifyID,"Information Technology, Data and Analytics, Software, Privacy and Security, Artificial Intelligence","San Francisco, California, United States",3/1/15,8/1/17,20000000,Series A,20000000,Operating
6295,6295,Understory,"Data and Analytics, Financial Services","Somerville, Massachusetts, United States",1/1/12,2/2/16,7498498,Series A,9466498,Operating
6296,6296,Unbabel,"Science and Engineering, Data and Analytics, Software, Professional Services, Payments, Financial Services, Artificial Intelligence","San Francisco, California, United States",8/8/13,10/31/16,5000000,Series A,8000000,Operating
6297,6297,UnaliWear,"Science and Engineering, Hardware, Consumer Electronics, Data and Analytics, Software, Health Care, Artificial Intelligence","Austin, Texas, United States",6/1/13,11/10/16,3500000,Series A,7100000,Operating
6298,6298,Unacast,"Hardware, Data and Analytics, Sales and Marketing, Internet Services, Advertising","New York, New York, United States",6/27/14,5/17/16,5000000,Series A,6600000,Operating
6299,6299,uMake,"Hardware, Software","San Francisco, California, United States",4/1/14,12/3/15,4500000,Series A,5200000,Operating
6300,6300,Ultivue,"Biotechnology, Science and Engineering","Cambridge, Massachusetts, United States",1/1/15,10/13/15,5150000,Series A,5150000,Operating
6301,6301,UCleats,"Media and Entertainment, Sports, Administrative Services, Education, Content and Publishing","Rochester, New York, United States",1/4/15,1/2/15,1500000,Series A,1500000,Operating
6302,6302,uAvionix,"Science and Engineering, Hardware, Software, Government and Military","Palo Alto, California, United States",1/1/14,4/27/16,5000000,Series A,5000000,Operating
6303,6303,Tynker,"Gaming, Media and Entertainment, Education","Mountain View, California, United States",5/8/12,5/31/16,7100000,Series A,10350000,Operating
6304,6304,txtsmarter,"Platforms, Software, Mobile","Redwood City, California, United States",4/1/13,2/20/15,1100000,Series A,1100000,Operating
6305,6305,Twine Health,Health Care,"Cambridge, Massachusetts, United States",1/1/14,5/5/17,1500000,Series A,8250000,Operating
6306,6306,Twine,"Apps, Media and Entertainment, Software, Sales and Marketing, Content and Publishing, Advertising","Los Angeles, California, United States",1/1/13,5/8/17,4500000,Series A,5180000,Operating
6307,6307,Twelve Springs,Travel and Tourism,"Irvine, California, United States",1/1/14,12/1/14,7000000,Series A,7000000,Operating
6308,6308,Tute Genomics,"Biotechnology, Science and Engineering, Software, Health Care","Provo, Utah, United States",7/13/12,6/16/15,3900000,Series A,7700000,Was Acquired
6309,6309,Turvo,"Information Technology, Software, Transportation","Sunnyvale, California, United States",1/1/14,3/28/17,25000000,Series A,31600000,Operating
6310,6310,Turing Pharmaceuticals,"Biotechnology, Science and Engineering, Health Care","New York, New York, United States",1/1/14,8/10/15,90000000,Series A,90000000,Operating
6311,6311,TurboAppeal,"Real Estate, Financial Services","Chicago, Illinois, United States",8/1/14,10/4/16,4000000,Series A,7200000,Was Acquired
6312,6312,TuneGO,"Gaming, Media and Entertainment, Software","Henderson, Nevada, United States",1/23/13,12/20/16,3600000,Series A,5670446,Operating
6313,6313,Tulip Interfaces,"Manufacturing, Apps, Data and Analytics, Software","Somerville, Massachusetts, United States",1/1/14,6/6/17,13000000,Series A,13000000,Operating
6314,6314,TuckerNuck,"Commerce and Shopping, Clothing and Apparel, Design","Washington, District of Columbia, United States",1/1/12,10/2/15,3077011,Series A,3077011,Operating
6315,6315,TrustRadius,"Software, Sales and Marketing, Internet Services","Austin, Texas, United States",6/1/12,7/15/16,2100000,Series A,7100000,Operating
6316,6316,TruSTAR Technology,"Information Technology, Privacy and Security","San Francisco, California, United States",3/1/14,2/9/17,5000000,Series A,8000000,Operating
6317,6317,Trufa,"Data and Analytics, Software","San Mateo, California, United States",12/4/13,1/29/16,5000000,Series A,16950000,Operating
6318,6318,TrueMotion,"Hardware, Consumer Electronics, Software, Transportation, Mobile","Boston, Massachusetts, United States",1/1/12,10/6/15,10000000,Series A,10000000,Operating
6319,6319,TrueFacet,"Commerce and Shopping, Consumer Goods","New York, New York, United States",12/1/13,9/20/16,6000000,Series A,14710000,Operating
6320,6320,TrueAbility,"Information Technology, Software, Education","San Antonio, Texas, United States",1/1/12,7/29/13,2000000,Series A,2750000,Operating
6322,6322,Trove AI,"Science and Engineering, Hardware, Information Technology, Data and Analytics, Software, Internet Services, Messaging and Telecommunications, Artificial Intelligence","Ann Arbor, Michigan, United States",1/1/13,10/19/16,9500000,Series A,11000000,Operating
6323,6323,Trove,Real Estate,"San Francisco, California, United States",1/1/16,5/23/17,8000000,Series A,8000000,Operating
6324,6324,"Troops, Inc.","Science and Engineering, Information Technology, Data and Analytics, Software, Internet Services, Messaging and Telecommunications, Artificial Intelligence","New York, New York, United States",4/17/15,9/12/16,7000000,Series A,9600000,Operating
6325,6325,Trooly,"Data and Analytics, Software, Financial Services, Artificial Intelligence","Los Altos, California, United States",1/1/14,6/20/16,10000000,Series A,10000000,Was Acquired
6326,6326,TripActions,"Travel and Tourism, Hardware, Information Technology, Consumer Electronics, Software","Menlo Park, California, United States",1/1/15,1/24/17,14600000,Series A,14700000,Operating
6327,6327,Trilogy Education Services,Education,"New York, New York, United States",9/1/15,6/5/17,30000000,Series A,30000000,Operating
6328,6328,Tribute,"Media and Entertainment, Software, Internet Services, Video","Brooklyn, New York, United States",12/1/14,8/15/16,1000000,Series A,1670000,Operating
6329,6329,tray.io,"Information Technology, Data and Analytics, Software, Internet Services","San Francisco, California, United States",4/14/12,11/17/16,5000000,Series A,7800000,Operating
6330,6330,TravelersBox,"Apps, Travel and Tourism, Software","New York, New York, United States",1/1/12,1/21/16,10000000,Series A,14500000,Operating
6331,6331,TravelBank,"Travel and Tourism, Software, Professional Services, Financial Services","San Francisco, California, United States",1/1/16,10/20/16,10000000,Series A,10000000,Operating
6332,6332,Travefy,"Travel and Tourism, Commerce and Shopping, Media and Entertainment, Events, Software, Payments, Financial Services, Mobile","Lincoln, Nebraska, United States",4/15/12,4/14/17,500000,Series A,2165000,Operating
6333,6333,TransLoc,Transportation,"Durham, North Carolina, United States",1/1/14,3/31/16,8000000,Series A,8000000,Operating
6334,6334,Transcriptic,"Biotechnology, Science and Engineering, Hardware, Software","Menlo Park, California, United States",2/14/12,11/17/16,13400000,Series A,27770000,Operating
6335,6335,Traity,"Information Technology, Data and Analytics","Mountain View, California, United States",7/17/12,7/3/14,4700000,Series A,4700000,Operating
6336,6336,TrademarkNow,"Information Technology, Software, Professional Services","New York, New York, United States",1/1/12,5/7/14,3500000,Series A,3500000,Operating
6338,6338,Tracksmith,"Commerce and Shopping, Community and Lifestyle, Clothing and Apparel, Design","Wellesley, Massachusetts, United States",1/1/13,8/18/15,4099999,Series A,5699999,Operating
6339,6339,TouchCare,"Health Care, Mobile","Durham, North Carolina, United States",1/1/13,11/25/14,4000000,Series A,4000000,Operating
6340,6340,Total Trivia,"Gaming, Apps, Software, Mobile","Minneapolis, Minnesota, United States",11/1/16,11/10/16,2500000,Series A,2500000,Operating
6341,6341,Total Expert,"Real Estate, Financial Services","Eden Prairie, Minnesota, United States",1/1/12,4/12/16,3000000,Series A,3000000,Operating
6342,6342,Torque Therapeutics,"Biotechnology, Science and Engineering, Health Care","Cambridge, Massachusetts, United States",1/1/15,8/28/15,5000000,Series A,5000000,Operating
6343,6343,token,"Software, Payments, Financial Services","San Francisco, California, United States",1/1/15,4/24/17,15700000,Series A,18500000,Operating
6344,6344,TOK.tv,"Software, Sports","San Francisco, California, United States",1/1/12,3/31/16,5000000,Series A,6052000,Operating
6346,6346,Tock,"Travel and Tourism, Food and Beverage","Chicago, Illinois, United States",1/1/14,10/4/16,7500000,Series A,7500000,Operating
6347,6347,Tmunity Therapeutics,"Biotechnology, Health Care","Philadelphia, Pennsylvania, United States",1/1/15,1/12/16,10000000,Series A,10000000,Operating
6349,6349,Tio Gazpacho,Food and Beverage,"New York, New York, United States",1/1/13,3/29/16,1250000,Series A,1250000,Operating
6350,6350,Tinkergarten,"Commerce and Shopping, Education","Northampton, Massachusetts, United States",10/28/14,8/8/17,5400000,Series A,8295000,Operating
6351,6351,Timyo,"Information Technology, Internet Services, Messaging and Telecommunications, Mobile","Los Angeles, California, United States",3/1/13,9/6/16,4000000,Series A,6520000,Operating
6352,6352,Timeful,"Science and Engineering, Data and Analytics, Software, Artificial Intelligence","Mountain View, California, United States",1/1/12,5/16/14,7000000,Series A,7000000,Was Acquired
6353,6353,Tiggly,"Apps, Hardware, Software, Consumer Goods, Education","New York, New York, United States",5/1/12,9/23/14,4000000,Series A,5000000,Operating
6354,6354,Tigera,"Information Technology, Software, Privacy and Security","San Francisco, California, United States",1/1/16,6/16/16,13000000,Series A,13000000,Operating
6355,6355,Ticketure,Software,"Seattle, Washington, United States",1/1/12,9/2/15,5500000,Series A,5500000,Operating
6356,6356,TicketSauce,"Media and Entertainment, Events","San Diego, California, United States",1/1/13,1/22/16,2500000,Series A,2500000,Operating
6357,6357,Tibit Communications,Hardware,"Petaluma, California, United States",1/1/14,1/31/17,13800000,Series A,13800000,Operating
6358,6358,Thyritope Biosciences,Health Care,"San Diego, California, United States",1/1/14,9/22/14,10000000,Series A,10000000,Operating
6359,6359,Threefold Photos,"Media and Entertainment, Video, Content and Publishing","Corte Madera, California, United States",1/1/12,12/19/13,6500000,Series A,9500000,Operating
6360,6360,Three Day Rule,"Community and Lifestyle, Internet Services","Los Angeles, California, United States",1/1/13,3/22/16,1200000,Series A,2795000,Operating
6361,6361,Thredhq,Mobile,"Berkeley, California, United States",1/1/12,9/18/13,5000000,Series A,5000000,Operating
6362,6362,ThirdLove,"Commerce and Shopping, Clothing and Apparel, Design, Mobile","San Francisco, California, United States",1/1/13,2/2/16,8000000,Series A,13600000,Operating
6363,6363,Thinkful,"Software, Education","New York, New York, United States",10/1/12,1/13/15,4250000,Series A,5250000,Operating
6364,6364,ThermaGenix,,"Waltham, Massachusetts, United States",1/1/16,4/20/17,1500000,Series A,1500000,Operating
6365,6365,The.Wing,"Real Estate, Community and Lifestyle","New York, New York, United States",1/1/15,4/5/17,8000000,Series A,10500000,Operating
6366,6366,The Zebra,"Commerce and Shopping, Transportation, Internet Services, Financial Services","Austin, Texas, United States",1/9/12,1/26/16,17000000,Series A,23025063,Operating
6367,6367,The Virtual Reality Company,"Hardware, Media and Entertainment, Music and Audio, Software, Video","Los Angeles, California, United States",10/21/14,6/10/16,23000000,Series A,25100000,Operating
6368,6368,The Farmer's Dog,Commerce and Shopping,"New York, New York, United States",1/1/14,5/18/17,8100000,Series A,10100000,Operating
6369,6369,The Editorialist,"Commerce and Shopping, Consumer Goods","New York, New York, United States",1/1/13,10/17/13,2000000,Series A,2000000,Operating
6370,6370,The Eastman Egg Company,Food and Beverage,"Chicago, Illinois, United States",1/1/13,4/19/16,1500000,Series A,2500000,Operating
6371,6371,The Daily Hundred,"Gaming, Media and Entertainment, Sales and Marketing, Content and Publishing, Mobile, Advertising","Tampa, Florida, United States",4/1/12,9/9/13,500000,Series A,1050000,Operating
6372,6372,The Big Know,"Sales and Marketing, Education, Advertising","Minneapolis, Minnesota, United States",1/1/14,1/11/16,3000000,Series A,3000000,Operating
6373,6373,TextRecruit,"Science and Engineering, Hardware, Information Technology, Data and Analytics, Software, Professional Services, Internet Services, Messaging and Telecommunications, Artificial Intelligence","San Jose, California, United States",8/1/15,3/21/17,3000000,Series A,3000000,Operating
6374,6374,Tethr,"Science and Engineering, Data and Analytics, Software, Administrative Services, Professional Services, Artificial Intelligence","Austin, Texas, United States",4/1/12,3/30/14,1390000,Series A,2390000,Operating
6375,6375,Testlio,"Data and Analytics, Software, Mobile","San Francisco, California, United States",11/21/12,4/12/16,6250000,Series A,7488000,Operating
6376,6376,TerrAvion,"Agriculture and Farming, Science and Engineering, Hardware, Software","San Leandro, California, United States",1/1/13,2/6/17,10000000,Series A,10000000,Operating
6377,6377,Teramind,"Information Technology, Software, Privacy and Security","New York, New York, United States",7/1/14,1/1/14,6000000,Series A,6000000,Operating
6378,6378,Tenfold,"Hardware, Information Technology, Data and Analytics, Software, Sales and Marketing, Artificial Intelligence, Mobile","Austin, Texas, United States",12/1/14,3/27/17,15800000,Series A,17228000,Operating
6379,6379,Tenaya Therapeutics,Health Care,"San Francisco, California, United States",1/1/16,12/6/16,50000000,Series A,50000000,Operating
6381,6381,Tempo Automation,"Manufacturing, Science and Engineering, Hardware, Software","San Francisco, California, United States",7/1/13,6/29/16,8000000,Series A,9600000,Operating
6382,6382,TemperPack,Sustainability,"Richmond, Virginia, United States",1/1/15,7/14/17,10000000,Series A,10000000,Operating
6383,6383,Telsar Pharma,"Biotechnology, Science and Engineering, Health Care","Bridgewater, New Jersey, United States",1/1/12,4/24/12,14000000,Series A,14000000,Operating
6384,6384,TellWise,"Software, Sales and Marketing","Bellevue, Washington, United States",1/1/12,6/27/13,3000000,Series A,3000000,Operating
6385,6385,Telepathy,"Hardware, Consumer Electronics, Software","Sunnyvale, California, United States",12/1/12,9/3/13,5000000,Series A,5000000,Operating
6386,6386,Teforia Company,"Food and Beverage, Consumer Goods, Internet Services","Mountain View, California, United States",1/1/14,11/1/16,12000000,Series A,17100000,Operating
6387,6387,Teckro,Software,"New York, New York, United States",1/1/15,8/8/16,6000000,Series A,6000000,Operating
6388,6388,TearSolutions,"Health Care, Consumer Goods","Charlottesville, Virginia, United States",1/1/13,11/9/15,3000000,Series A,3390000,Operating
6389,6389,Teamable,"Media and Entertainment, Professional Services, Internet Services","San Francisco, California, United States",12/1/13,4/12/17,5000000,Series A,5000000,Operating
6390,6390,TCR2,Health Care,"Cambridge, Massachusetts, United States",1/1/15,12/8/16,44500000,Series A,48300000,Operating
6391,6391,tCell.io,"Hardware, Information Technology, Consumer Electronics, Privacy and Security","San Francisco, California, United States",1/1/14,10/12/16,9400000,Series A,9400000,Operating
6392,6392,TB Biosciences,"Biotechnology, Science and Engineering, Health Care","Bethlehem, Pennsylvania, United States",6/1/13,7/18/13,1500000,Series A,1500000,Operating
6393,6393,Tascent,"Biotechnology, Science and Engineering, Information Technology, Data and Analytics, Privacy and Security","Los Gatos, California, United States",1/1/15,9/17/15,18500000,Series A,18500000,Operating
6395,6395,Tapiture,"Commerce and Shopping, Media and Entertainment, Internet Services","Santa Monica, California, United States",4/5/12,5/8/15,2750000,Series A,5000000,Was Acquired
6396,6396,TapCommerce,"Apps, Software, Sales and Marketing, Mobile, Advertising","New York, New York, United States",1/1/12,11/21/13,10500000,Series A,11700000,Was Acquired
6397,6397,Tapas Media,"Media and Entertainment, Content and Publishing, Mobile","San Francisco, California, United States",3/1/12,7/1/15,1000000,Series A,4400000,Operating
6398,6398,TAO Connect,Health Care,"St. Petersburg, Florida, United States",1/1/14,1/25/17,1500000,Series A,2600000,Operating
6399,6399,Tally Technologies,"Apps, Software, Payments, Financial Services, Lending and Investments, Mobile","San Francisco, California, United States",1/1/15,5/19/16,15000000,Series A,15000000,Operating
6400,6400,Talla,"Science and Engineering, Data and Analytics, Software, Sales and Marketing, Professional Services, Artificial Intelligence","Brookline, Massachusetts, United States",1/1/15,6/19/17,8300000,Series A,12326848,Operating
6401,6401,Talentoday,"Data and Analytics, Software, Health Care, Professional Services, Internet Services, Artificial Intelligence","San Francisco, California, United States",7/1/13,1/7/17,3490000,Series A,4940000,Operating
6402,6402,Talena,"Hardware, Data and Analytics, Software","San Jose, California, United States",1/1/13,8/11/15,12000000,Series A,12000000,Operating
6403,6403,Takt,"Hardware, Data and Analytics, Software, Artificial Intelligence","San Francisco, California, United States",1/1/15,7/25/16,30000000,Series A,30000000,Operating
6404,6404,Tailor Brands,Sales and Marketing,"Brooklyn, New York, United States",6/11/14,11/7/16,4000000,Series A,5100000,Operating
6405,6405,TAI Diagnostics,"Biotechnology, Science and Engineering, Health Care","Wauwatosa, Wisconsin, United States",1/1/13,10/23/15,8200000,Series A,14225000,Operating
6406,6406,Tachyus,"Natural Resources, Energy, Information Technology, Data and Analytics, Software, Artificial Intelligence, Design","San Mateo, California, United States",1/1/13,3/1/16,4000000,Series A,24328000,Operating
6407,6407,Table8,"Media and Entertainment, Events","San Francisco, California, United States",1/1/13,5/6/14,4600000,Series A,4600000,Operating
6409,6409,"Synchron, Inc.",Health Care,"Campbell, California, United States",4/1/16,4/4/17,10000000,Series A,10000000,Operating
6410,6410,Sympara Medical,Health Care,"San Francisco, California, United States",5/1/12,12/22/14,3016000,Series A,12816000,Operating
6411,6411,Symbolic IO Corporation,"Hardware, Software","Holmdel, New Jersey, United States",2/10/12,12/28/14,12750000,Series A,16000000,Operating
6412,6412,Swyft,"Hardware, Commerce and Shopping, Consumer Electronics, Mobile","San Francisco, California, United States",1/1/13,5/9/16,3500000,Series A,5500000,Operating
6413,6413,Swyfft,Financial Services,"Utah, United States, North America",1/1/14,1/21/17,7500000,Series A,7500000,Operating
6414,6414,Swipe Labs,"Hardware, Information Technology, Consumer Electronics, Software, Mobile","San Francisco, California, United States",8/1/13,1/29/15,6500000,Series A,8200000,Was Acquired
6415,6415,Sweet Relish,Commerce and Shopping,"Huntersville, North Carolina, United States",1/1/12,1/1/12,3000000,Series A,3000000,Operating
6416,6416,Swarm Mobile,"Hardware, Commerce and Shopping, Navigation and Mapping, Data and Analytics, Software, Internet Services, Mobile","San Francisco, California, United States",6/1/12,12/2/13,3500000,Series A,4500000,Was Acquired
6417,6417,Sustain,Commerce and Shopping,"New York, New York, United States",5/1/13,2/23/16,2500000,Series A,2500000,Operating
6418,6418,Survata,"Data and Analytics, Design, Advertising","San Francisco, California, United States",1/1/12,7/21/15,6000000,Series A,7717000,Operating
6419,6419,Surkus,"Media and Entertainment, Events, Sales and Marketing, Advertising","Los Angeles, California, United States",2/1/15,1/1/17,7000000,Series A,11000000,Operating
6420,6420,Surface Oncology,"Biotechnology, Science and Engineering, Health Care","Cambridge, Massachusetts, United States",1/1/14,1/8/15,35000000,Series A,35000000,Operating
6421,6421,Sure,"Apps, Software, Internet Services, Financial Services, Mobile","New York, New York, United States",10/1/14,6/14/17,8000000,Series A,10600000,Operating
6422,6422,SuperFlex,"Science and Engineering, Hardware, Consumer Electronics, Data and Analytics, Software, Artificial Intelligence","Menlo Park, California, United States",4/1/16,5/30/17,10199996,Series A,10199996,Operating
6423,6423,Suiteness,"Travel and Tourism, Media and Entertainment, Events, Community and Lifestyle","Oakland, California, United States",1/1/14,12/14/16,5000000,Series A,6120000,Operating
6424,6424,SubVRsive,"Hardware, Software, Sales and Marketing, Advertising","Austin, Texas, United States",8/1/15,2/6/17,4000000,Series A,4000000,Operating
6425,6425,SubPac,"Hardware, Media and Entertainment, Consumer Electronics, Music and Audio","Palo Alto, California, United States",1/1/13,7/12/16,6000000,Series A,6000000,Operating
